Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2023 Total reported emissions from Onshore Oil & Gas Production ,2022 Total reported emissions from Onshore Oil & Gas Production ,2021 Total reported emissions from Onshore Oil & Gas Production ,2020 Total reported emissions from Onshore Oil & Gas Production ,2019 Total reported emissions from Onshore Oil & Gas Production ,2018 Total reported emissions from Onshore Oil & Gas Production ,2017 Total reported emissions from Onshore Oil & Gas Production ,2016 Total reported emissions from Onshore Oil & Gas Production ,2015 Total reported emissions from Onshore Oil & Gas Production ,2014 Total reported emissions from Onshore Oil & Gas Production ,2013 Total reported emissions from Onshore Oil & Gas Production ,2012 Total reported emissions from Onshore Oil & Gas Production ,2011 Total reported emissions from Onshore Oil & Gas Production ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014785,,(430) Civitas Resources - Permian Basin,430 - Permian Basin,Denver,CO,80202,555 17th St. Suite 3700,,39.74522001,-104.989197,211120,W-ONSH,844548.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000355,,(540) Civitas Resources - Denver Basin,540 - Denver Basin,Denver,CO,80202,555 17th St. Suite 3700,,39.74431,-104.98858,211120,W-ONSH,887486.956,1171208.898,361264.132,390782.702,308514.994,273069.722,242958.734,261382.84,354850.7,243116.642,163013.8,151519.07,17728.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014874,,1876 CO DJ Basin,540 - Denver Basin,Denver,CO,80203,"1290 Broadway, Ste 1650",,39.73652198,-104.98676,211120,W-ONSH,27277.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013369,,"1876 Resources, LLC - Denver Basin",540 - Denver Basin,Denver,CO,80203,"1290 Broadway, Ste 1650",,39.73652198,-104.98676,211120,W-ONSH,27277.218,58106.392,45789.278,41832.976,42998.064,46109.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009263,110067652267,220 Gulf Coast,"220 - Gulf Coast Basin (LA, TX)",Oklahoma City,OK,73114,701 Cedar Lake Blvd,OKLAHOMA COUNTY,35.56719,-97.49827,211111,W-ONSH,,,,,,,,3181.694,4448.39,3802.892,26409.382,30756.726,84922.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009238,,220 Gulf Coast Basin DEC,"220 - Gulf Coast Basin (LA, TX)",Oklahoma City,OK,73102,333 West Sheridan Ave,,35.466697,-97.51453,211120,W-ONSH,1166132.016,1173336.492,570971.09,586568.73,668194.122,811064.85,767413.32,808767.966,747874.26,171273.574,63896.146,94675.778,148424.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008121,110014409684,230 Arkla Basin DEC,230 - Arkla Basin,Oklahoma City,OK,73102,333 West Sheridan Ave,Oklahoma,35.46734,-97.51406,211111,W-ONSH,,,,,,,,,,,21834.364,27839.934,28858.972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009283,110004766129,230 Arkla Basin QEP Energy Company,230 - Arkla Basin,Denver,CO,80265,1050 17th Street Unit 800,,39.7480769,-104.994564,211130,W-ONSH,,,,,,83992.518,102680.944,57168.136,135085.12,149043.056,154266.208,302760.28,348357.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009117,110067652070,260 East Texas Basin,260 - East Texas Basin,Oklahoma City,OK,73114,701 Cedar Lake Blvd,OKLAHOMA COUNTY,35.56719,-97.49827,211111,W-ONSH,,,,,,,,,,104.25,11027.4,17101.498,51114.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009170,,260 East Texas Basin - BP America Production Company,260 - East Texas Basin,Houston,TX,77079,501 Westlake Park Blvd.,,29.78037,-95.6295,211130,W-ONSH,13382.288,15645.134,27908.64,23735.104,76941.042,97345.036,67155.314,43942.41,42528.246,52433.886,62617.866,34844.106,40809.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
